id;category;name/code;description;price;enable vat;vat value;weight;options;enable discounts;discounts;availability type;available;pending
vu6zt226;acsess > und;"Сачок аквар. ""Тритон"" №3 8см зеленый (зел. ручка)";;35;0;0,0;0,0;;0;;Unset;;
5f6art5r;acsess > und;"Сачок аквар. ""Тритон"" №3 8см зеленый (красн. ручка)";;32;0;0,0;0,0;;0;;Unset;;
93751li0;acsess > und;"Сачок аквар. ""Тритон"" №4 10см (пласт. ручка)";;57;0;0,0;0,0;;0;;Unset;;
687o0yr0;acsess > und;"Сачок аквар. ""Тритон"" №4 10см белый (зел. ручка)";;35;0;0,0;0,0;;0;;Unset;;
if7p9lz0;acsess > und;"Сачок аквар. ""Тритон"" №4 10см белый (крас. ручка)";;35;0;0,0;0,0;;0;;Unset;;
s4815duk;acsess > und;"Сачок аквар. ""Тритон"" №4 10см зеленый (зел. ручка)";;35;0;0,0;0,0;;0;;Unset;;
488d46d4;acsess > und;"Сачок аквар. ""Тритон"" №4 10см зеленый (красн. ручка)";;35;0;0,0;0,0;;0;;Unset;;
vb96939u;acsess > und;"Сачок аквар. ""Тритон"" №5 13см белый (крас. ручка)";;53;0;0,0;0,0;;0;;Unset;;
5l9r882t;acsess > und;"Сачок аквар. ""Тритон"" №5 13см зеленый (зел. ручка)";;52;0;0,0;0,0;;0;;Unset;;
f8xs7357;acsess > und;"Сачок аквар. ""Тритон"" №6 15см белый (зел. ручка)";;65;0;0,0;0,0;;0;;Unset;;
6b02h03d;acsess > und;"Сачок аквар. ""Тритон"" №6 15см белый (крас. ручка)";;64;0;0,0;0,0;;0;;Unset;;
hmagen6d;acsess > und;"Сачок аквар. ""Тритон"" №6 15см зеленый (зел. ручка)";;54;0;0,0;0,0;;0;;Unset;;
99zhca0c;acsess > und;"Сачок аквар. ""Тритон"" №6 15см пласт. ручка 50см";;252;0;0,0;0,0;;0;;Unset;;
kcc8ptv4;acsess > und;"Сачок аквар. ""Тритон"" №7 18см зеленый (зел. ручка)";;76;0;0,0;0,0;;0;;Unset;;
0ncvn2dm;acsess > und;"Сачок аквар. ""Тритон"" №8 20см зеленый (зел. ручка)";;88;0;0,0;0,0;;0;;Unset;;
47e3by98;acsess > und;Сачок аквар. FN-103 д/пруд. рыб 53*75-142см;;1000;0;0,0;0,0;;0;;Unset;;
e1eky428;acsess > und;Сачок аквар. FN-38G 20.32*15.24*30.48см;;61;0;0,0;0,0;;0;;Unset;;
wo1lv96v;acsess > und;Сачок аквар. с дерев. ручкой №6 15см;;138;0;0,0;0,0;;0;;Unset;;
h7g93641;acsess > und;Сачок аквар. треуг. 17см 376617;;77;0;0,0;0,0;;0;;Unset;;
912z2d71;acsess > und;"Сифон ""HAGEN"" Multi-gravel washer с клапаном А-1010";;535;0;0,0;0,0;;0;;Unset;;
652a1p01;acsess > und;"Сифон ""SERA"" Gravel Cleaner помповый 8550";;557;0;0,0;0,0;;0;;Unset;;
0u3n7iwo;acsess > und;"Сифон ""Тритон"" 145см QS1102A";;165;0;0,0;0,0;;0;;Unset;;
u23o6ve5;acsess > und;"Сифон ""Тритон"" 65см QS1103";;135;0;0,0;0,0;;0;;Unset;;
1k401n9x;acsess > und;"Скиммер ""DENNERLE"" Turbo поверхностный 5608";;842;0;0,0;0,0;;0;;Unset;;
wv4c003x;acsess > und;"Скребок ""HAGEN"" + щипцы д/растений De Lux 11019";;313;0;0,0;0,0;;0;;Unset;;
5gkd9568;acsess > und;Скребок двухстор. 81см В-210032;;152;0;0,0;0,0;;0;;Unset;;
9446m24g;acsess > und;Скребок двухстор. малый 51см В-210020;;189;0;0,0;0,0;;0;;Unset;;
6wmrj77g;acsess > und;"Скребок магнитный ""Fluval Edge"" А-11024";;398;0;0,0;0,0;;0;;Unset;;
jgmshf0g;acsess > und;"Скребок магнитный ""HAGEN"" Large 11023";;716;0;0,0;0,0;;0;;Unset;;
t4oguxx6;acsess > und;"Скребок магнитный ""JBL"" Floaty S плав. 6мм";;556;0;0,0;0,0;;0;;Unset;;
l8ogskfp;acsess > und;Скребок магнитный (малый одноцветн) В-7009/110100;;160;0;0,0;0,0;;0;;Unset;;
wcr7gca9;acsess > und;Скребок магнитный (малый разноцветн) В-7011/120100;;160;0;0,0;0,0;;0;;Unset;;
